Пользователь;мс между'Э' и 'т';мс между'т' и 'о';мс между'о' и 'т';мс между'т' и ' ';мс между' ' и 'т';мс между'т' и 'е';мс между'е' и 'к';мс между'к' и 'с';мс между'с' и 'т';мс между'т' и ' ';мс между' ' и 'н';мс между'н' и 'а';мс между'а' и 'д';мс между'д' и 'о';мс между'о' и ' ';мс между' ' и 'в';мс между'в' и 'в';мс между'в' и 'е';мс между'е' и 'с';мс между'с' и 'т';мс между'т' и 'и';мс между'и' и '!';Скорость ввода (кл/мс);Кол-во ошибок;Shift;Caps;Степан;Рафаэль;Илья;Елена;Евгений;Алина;Чингиз
Степан;9;1;1;1;1;1;0;2;1;2;2;1;1;2;2;1;1;2;1;1;1;3;0,622;0;2;0;1;0;0;0;0;0;0
Степан;6;1;1;1;2;1;0;2;0;2;2;1;1;2;2;1;1;1;1;1;1;4;0,676;1;2;0;1;0;0;0;0;0;0
Степан;3;1;1;1;1;0;0;2;0;6;1;1;1;2;1;1;1;1;1;1;1;4;0,742;1;2;0;1;0;0;0;0;0;0
Степан;3;1;1;1;1;1;0;2;0;8;1;1;1;2;2;0;1;3;2;1;1;4;0,622;1;2;0;1;0;0;0;0;0;0
Степан;3;1;5;1;1;1;0;1;1;3;2;1;2;6;3;2;1;2;2;1;1;4;0,523;2;2;0;1;0;0;0;0;0;0
Степан;4;1;1;2;2;1;0;2;0;2;2;1;1;2;2;1;1;3;2;1;1;4;0,639;1;2;0;1;0;0;0;0;0;0
Степан;3;1;2;2;2;0;0;1;1;1;2;1;1;2;2;1;1;2;1;1;1;4;0,719;1;2;0;1;0;0;0;0;0;0
Степан;3;1;1;2;2;1;0;2;0;1;2;1;1;2;1;1;1;1;2;0;1;4;0,767;1;2;0;1;0;0;0;0;0;0
Степан;3;1;4;2;1;0;0;1;0;2;2;1;1;1;2;1;1;1;1;1;1;4;0,742;1;2;0;1;0;0;0;0;0;0
Степан;3;1;1;5;1;1;1;7;0;4;2;1;3;2;2;1;1;2;2;1;1;4;0,5;1;2;0;1;0;0;0;0;0;0
Рафаэль;7;0;1;3;1;0;2;1;1;3;1;1;2;1;0;1;2;2;2;1;1;1;0,676;0;1;1;0;1;0;0;0;0;0
Рафаэль;4;0;2;2;1;1;3;2;1;2;1;1;2;1;0;1;2;2;1;1;1;2;0,697;1;1;1;0;1;0;0;0;0;0
Рафаэль;3;0;2;2;1;1;1;1;1;1;1;1;2;2;0;1;2;2;1;1;1;2;0,793;1;1;1;0;1;0;0;0;0;0
Рафаэль;17;18;5;4;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;0,359;5;1;1;0;1;0;0;0;0;0
Рафаэль;4;0;2;3;1;0;2;2;1;1;1;1;2;1;1;1;1;2;2;1;1;1;0,742;1;1;1;0;1;0;0;0;0;0
Рафаэль;3;0;2;2;1;1;2;2;1;1;0;2;2;1;1;1;2;2;2;1;1;2;0,719;1;1;1;0;1;0;0;0;0;0
Рафаэль;3;1;1;3;1;1;1;2;1;2;0;1;2;1;1;1;1;2;1;2;1;1;0,767;1;1;1;0;1;0;0;0;0;0
Рафаэль;3;0;1;2;1;2;11;2;2;4;1;1;2;1;1;1;2;2;1;1;1;1;0,535;2;1;1;0;1;0;0;0;0;0
Рафаэль;3;1;5;3;1;3;2;2;1;4;1;1;2;1;14;1;11;2;2;1;1;1;0,365;5;1;1;0;1;0;0;0;0;0
Рафаэль;3;1;2;2;1;1;2;2;1;1;1;1;2;1;2;4;4;2;2;1;1;1;0,605;1;1;1;0;1;0;0;0;0;0
